Cluster 0{
[439.685,398.741,551.093]
(391.217,420.144,518.13)
(440.109,349.797,471.313)
(421.671,367.061,471.187)
(467.456,466.469,598.536)
(474.242,349.274,548.717)
(433.344,395.026,470.865)
(451.863,363.591,509.003)
(435.529,403.035,583.961)
(462.594,425.042,615.945)
(388.888,347.171,593.468)
(468.651,362.538,505.139)
(446.663,492.862,641.808)
(409.861,386.707,483.54)
(489.935,344.997,548.749)
(394.363,329.562,426.708)
(411.264,451.177,606.1)
(382.508,406.284,518.364)
(362.115,379.241,483.438)
(366.881,369.732,554.228)
(490.658,439.151,568.438)
(405.855,404.008,526.513)
(359.714,335.263,594.627)
(442.795,400.682,593.605)
(374.966,316.548,593.264)
(482.457,400.773,510.83)
(451.968,414.142,603.067)
(516.539,401.158,529.755)
(419.014,425.72,594.349)
(480.234,413.565,567.424)
(455.434,477.866,642.181)
(473.943,474.761,585.611)
(483.453,366.54,500.545)
(389.607,376.868,517.931)
(426.844,387.976,496.183)
(429.173,405.904,500.625)
(412.458,360.708,534.492)
(371.321,440.911,556.641)
(421.384,380.702,542.771)
(398.179,463.207,572.713)
(422.273,392.853,626.001)
(501.365,416.09,563.859)
(422.102,451.325,641.269)
(463.529,411.144,502.249)
(488.64,363.663,598.215)
(509.563,379.566,590.737)
(409.458,330.667,511.949)
(434.738,433.943,547.675)
(423.466,357.128,604.259)
(463.276,341.685,490.178)
(373.146,413.316,430.752)
(495.561,422.451,540.057)
(488.441,367.597,613.309)
(401.036,445.808,535.328)
(476.135,373.142,516.724)
(474.867,382.052,557.831)
(534.368,322.71,546.448)
(371.25,360.845,480.142)
(478.274,410.674,503.725)
(469.67,400.931,539.418)
(406.329,474.175,645.309)
(501.258,394.314,607.883)
(457.07,450.658,524.034)
(429.257,465.698,554.964)
(454.355,353.737,485.047)
(452.619,467.126,539.735)
(369.696,460.515,591.214)
(410.641,407.123,507.786)
(464.829,411.516,655.08)
(449.256,450.057,496.978)
(462.27,413.652,592.806)
(454.072,428.773,620.383)
(456.776,455.144,570.291)
(460.851,366.11,575.235)
(363.963,474.588,564.226)
(376.04,349.637,427.544)
(481.442,432.212,533.882)
(460.327,386.979,578.331)
(407.169,355.53,503.865)
(443.384,445.462,565.15)
(405.575,420.635,554.964)
(402.376,394.182,561.987)
(484.465,333.276,540.574)
(427.163,368.537,468.965)
(449.728,388.304,565.691)
(426.395,397.706,594.284)
(509.118,400.141,535.281)
(399.577,346.212,597.837)
(470.45,382.843,521.453)
(358.671,424.471,419.899)
(447.69,433.258,531.66)
(418.97,483.647,591.713)
(367.532,430.639,571.803)
(428.559,385.607,607.063)
(433.493,334.013,553.656)
(428.551,442.811,546.667)
(470.241,424.099,645.725)
(514.974,363.435,642.184)
(393.913,338.719,423.778)
(418.52,444.116,542.63)
(484.192,404.97,556.638)
(430.241,456.442,591.106)
(451.205,397.908,476.605)
(439.44,397.118,542.884)
(466.663,384.114,594.868)
(463.909,383.006,562.161)
(430.215,398.947,532.368)
(431.173,349.532,516.598)
(430.791,412.049,540.069)
(407.239,474.12,566.283)
(452.761,431.262,563.096)
(370.873,354.578,571.209)
(474.383,378.2,505.117)
(400.91,414.771,481.949)
(495.03,318.349,533.191)
(510.965,391.718,528.578)
(426.923,343.965,544.978)
(425.339,402.591,617.695)
(379.012,366.694,472.21)
(496.705,356.115,511.265)
(438.593,404.532,472.446)
(375.237,323.614,498.817)
(420.173,377.996,536.931)
(494.158,404.128,554.135)
(495.673,418.229,585.48)
(454.804,442.584,495.136)
(441.173,359.093,630.59)
(439.579,324.569,586.88)
(454.389,442.265,629.79)
(482.914,389.24,503.259)
(376.976,479.47,576.683)
(368.281,355.267,579.355)
(432.396,427.342,531.393)
(436.2,447.703,647.974)
(405.457,374.331,571.755)
(522.707,374.257,542.247)
(437.12,381.837,582.586)
(525.015,379.47,537.798)
(411.593,427.284,497.857)
(441.025,442.838,645.024)
(460.729,408.698,584.114)
(440.262,351.67,544.88)
(390.302,403.481,595.724)
(457.029,436.293,567.361)
(437.364,346.53,513.312)
(449.03,393.889,559.712)
(473.469,449.276,525.333)
(410.181,433.59,480.995)
(450.706,387.561,525.712)
(473.028,325.819,538.187)
(376.608,323.826,524.735)
(429.305,411.705,485.029)
(415.59,390.036,465.244)
(505.514,375.06,580.289)
(410.106,432.126,504.606)
(479.879,452.447,555.069)
(463.077,387.588,571.075)
(421.67,323.702,537.144)
(408.506,446.318,485.222)
(467.078,397.596,533.921)
(486.698,404.581,503.634)
(371.241,423.057,529.233)
(482.343,459.586,527.801)
(386.424,400.805,505.305)
(408.454,354.045,559.187)
(509.974,372.421,594.563)
(454.465,350.391,647.325)
(433.773,415.047,465.085)
